nsn,treated,first_waiver_date,bidlink_enriched
1660016004909,1,2022-11-22,true
1680016229189,1,2022-09-13,true
2895145543146,1,2023-03-14,true
3990015742050,1,2023-04-13,true
4240015387970,1,2023-03-06,true
4510015272274,1,2023-03-08,true
6695012662248,1,2025-07-10,true
8150014633177,1,2022-09-28,true
8150014638553,1,2022-07-06,true
8150014638555,1,2022-08-25,true
8150014813740,1,2024-03-28,true
8150014813741,1,2022-10-17,true
8150014839115,1,2023-03-22,true
8150014839121,1,2022-10-17,true
8150014839123,1,2022-10-17,true
8150014839125,1,2024-03-28,true
8150014886545,1,2023-01-19,true
8150014912678,1,2022-09-27,true
8150014912727,1,2024-02-22,true
8150015012741,1,2022-12-21,true
8150015134913,1,2024-03-28,true
8150015148414,1,2022-10-17,true
8150015338673,1,2024-03-28,true
8150015338674,1,2022-11-08,true
8150015338675,1,2023-03-21,true
8150015338677,1,2024-03-28,true
8150015737424,1,2022-09-22,true
8150015741682,1,2024-03-28,true
1620002552520,0,,true
1620012212629,0,,true
1650005303407,0,,true
1650011848814,0,,true
1680015453445,0,,true
1680015461271,0,,true
2805016191675,0,,true
2945001277218,0,,true
2945002315077,0,,true
3940011632319,0,,true
3950011546794,0,,true
3950011782932,0,,true
3950014653509,0,,true
3990015736697,0,,true
4210014673616,0,,true
4240012437176,0,,true
4240016199947,0,,true
4510000692034,0,,true
4510014850763,0,,true
4520010698621,0,,true
4520013331937,0,,true
4520015590984,0,,true
6620006257248,0,,true
6680016112545,0,,true
6685016512294,0,,true
6695011592618,0,,true
6695014384125,0,,true
8145010767476,0,,true
8145014691006,0,,true
8145015029424,0,,true
8145015120901,0,,true
8145015120909,0,,true
8145015120919,0,,true
8145015120923,0,,true
8145015121019,0,,true
8145015121022,0,,true
8145015121201,0,,true
8145015138670,0,,true
8145015150612,0,,true
8145015234040,0,,true
8145015334149,0,,true
8145015617803,0,,true
8145015656131,0,,true
8145015678833,0,,true
8145015860386,0,,true
8145015860404,0,,true
8145015860408,0,,true
8145015883678,0,,true
8145015917437,0,,true
8145015917441,0,,true
8145016035483,0,,true
8145016062895,0,,true
8145016062898,0,,true
8145016151453,0,,true
8145016282425,0,,true
8145016289021,0,,true
8145016540943,0,,true
8145016603458,0,,true
8145124038236,0,,true
8145200075723,0,,true
8150014633182,0,,true
8150015136282,0,,true
8150015864979,0,,true
